Wavenumbercm-1,01:44:27
4000,0.00100203642541495
3996,0.000961716509417735
3992,0.000809474510337268
3988,0.000595457743965763
3984,0.00051165256795542
3980,0.000602414556880343
3976,0.000697135044169057
3972,0.000663459670457184
3968,0.000553069704566546
3964,0.000449705452649103
3960,0.000375927191258429
3956,0.000421583692824777
3952,0.000735502215916773
3948,0.00123105042501177
3944,0.0015661403841167
3940,0.00161954510410553
3936,0.00170239871026385
3932,0.00207779813196331
3928,0.0025473537554863
3924,0.0027594583656902
3920,0.00267102467448273
3916,0.00248274337493807
3912,0.00233611144032345
3908,0.00234338443515426
3904,0.00266805029946358
3900,0.00319974270084925
3896,0.0034875345933527
3892,0.00339820709869442
3888,0.00332363777467042
3884,0.0034766894363509
3880,0.00350247691877761
3876,0.00310874572841463
3872,0.00261871863745547
3868,0.00248544372156021
3864,0.00264506696371116
3860,0.0028087526007593
3856,0.00299040997315247
3852,0.0031779024487266
3848,0.00307770875131475
3844,0.00270399599945154
3840,0.00256384618441195
3836,0.00286564374091613
3832,0.0031227903326579
3828,0.00300811266079966
3824,0.00288501723400839
3820,0.00291315771915995
3816,0.00265008819499896
3812,0.00208497653907699
3808,0.00198386887095726
3804,0.00252302261108334
3800,0.00267134192050216
3796,0.00180401975743715
3792,0.000980390134515246
3788,0.00112151484613394
3784,0.00167319757824761
3780,0.00177019293283732
3776,0.00171505973891646
3772,0.0022350160697587
3768,0.00297180950770237
3764,0.00310887151631874
3760,0.00293895590210646
3756,0.00326099583074428
3752,0.00385353658462366
3748,0.00390299206119665
3744,0.003642763616488
3740,0.00373902263619051
3736,0.00356818363105735
3732,0.00246264778463373
3728,0.00133918852711509
3724,0.00122100697744673
3720,0.00151409441601205
3716,0.00131179183965807
3712,0.000987780800098103
3708,0.00120686899869482
3704,0.00142760645727979
3700,0.00112309882488876
3696,0.00107060865996851
3692,0.0017969253633673
3688,0.00216934200795675
3684,0.00131239946912103
3680,0.000575371497333594
3676,0.00128358423851358
3672,0.00229996274168283
3668,0.00189172435458366
3664,0.000918527441467645
3660,0.000801980572880099
3656,0.0010063137614565
3652,0.000519241113491593
3648,-7.89815410513238E-05
3644,0.00017617336031111
3640,0.000456501488335184
3636,9.3593173574005E-05
3632,0.000146338554368272
3628,0.00130641092557044
3624,0.00197240934533918
3620,0.000973138909242659
3616,5.58071902393401E-05
3612,0.000697293016633525
3608,0.00122565468284757
3604,-2.59738070157432E-05
3600,-0.00139352969075335
3596,-0.00103844518536975
3592,-0.000391755193932743
3588,-0.00145583365605921
3584,-0.00276112490668834
3580,-0.0020563180308032
3576,-0.000618082239934204
3572,-0.000626415862100479
3568,-0.0012419470342714
3564,-0.000615429502113169
3560,8.79770996212411E-05
3556,-0.000981130693305979
3552,-0.00248093558238987
3548,-0.00250255452561587
3544,-0.00221055708072219
3540,-0.00324966924009403
3536,-0.00403972959610936
3532,-0.00292580578841844
3528,-0.00187711346149584
3524,-0.0030669869430225
3520,-0.0045823986934487
3516,-0.00391323348809669
3512,-0.00258225040209604
3508,-0.00294097211772552
3504,-0.00365871630576301
3500,-0.00266520588093141
3496,-0.00156462872660678
3492,-0.00245008437551054
3488,-0.00356081587309337
3484,-0.00266936753733885
3480,-0.00155846049368311
3476,-0.0026629002961726
3472,-0.00430202512402477
3468,-0.00392791691575666
3464,-0.00295561855237976
3460,-0.00379418430236429
3456,-0.00510205904328211
3452,-0.00465309386205183
3448,-0.0037981442738159
3444,-0.00468959448939304
3440,-0.00595609528451364
3436,-0.00549731571298879
3432,-0.0047045059925291
3428,-0.0055348941619427
3424,-0.00644457231831518
3420,-0.0054720067893384
3416,-0.00429079755441886
3412,-0.00501223238510991
3408,-0.00600992110810436
3404,-0.00508239386672782
3400,-0.00381431610905255
3396,-0.00453773358597778
3392,-0.00578255464200635
3388,-0.0051545358812528
3384,-0.00390671096499364
3380,-0.00431070291588842
3376,-0.00528107494346443
3372,-0.00466992777349183
3368,-0.0034764382386531
3364,-0.00372916563885843
3360,-0.00442619866683342
3356,-0.00366272253951215
3352,-0.00249063845816411
3348,-0.00276807650966431
3344,-0.0034122873348597
3340,-0.00252491443040201
3336,-0.00113233686004406
3332,-0.00106946741050169
3328,-0.00128027520429084
3324,4.69666966847576E-05
3320,0.00175751285849282
3316,0.00186363482218417
3312,0.00132891462366092
3308,0.00207897798282603
3304,0.00325515057186198
3300,0.00314699986601186
3296,0.00284855560957001
3292,0.0042436938542938
3288,0.00625349146006586
3284,0.00673380836592288
3280,0.00631367500944096
3276,0.0068021026568057
3272,0.00761047729807765
3268,0.00727127565566216
3264,0.00671932337890385
3260,0.00751539554929377
3256,0.00859779367472899
3252,0.00824198026741607
3248,0.00744886703023875
3244,0.0080344872369328
3240,0.00914615286289144
3236,0.00906196390255349
3232,0.00858705247276176
3228,0.00928480170424037
3224,0.0101918558529136
3220,0.00970580151180954
3216,0.00886425740862556
3212,0.00942244679558229
3208,0.0105037270194905
3204,0.0104079888986858
3200,0.00987493255780028
3196,0.0103787821797305
3192,0.0110506456526918
3188,0.0104539521088963
3184,0.00960965084869536
3180,0.0101557870642445
3176,0.0112576211932226
3172,0.0113199493437956
3168,0.0110107564395532
3164,0.0116744181366454
3160,0.0125166718933372
3156,0.0122618194954347
3152,0.0118935386841962
3148,0.0128863281676022
3144,0.0143205668960223
3140,0.0145492089950699
3136,0.0141496937887281
3132,0.0145383554558949
3128,0.0152107993633655
3124,0.0150307500614189
3120,0.0147822174253533
3116,0.0157912978242019
3112,0.0172964925317567
3108,0.017822449396747
3104,0.0178898128785924
