Wavenumbercm-1,00:06:11
4000,0.00602389377654792
3996,0.00579173817092806
3992,0.00571038928245879
3988,0.00578382143740828
3984,0.00588993886795837
3980,0.00593890788910295
3976,0.0059313571990113
3972,0.00586842969937953
3968,0.00574042314291468
3964,0.00561504611615845
3960,0.00562908275894417
3956,0.00586278442355039
3952,0.00628168931719723
3948,0.00676045835281684
3944,0.00716349802810916
3940,0.00744512727089492
3936,0.00768163889331892
3932,0.00795858452977855
3928,0.00821752142689877
3924,0.00825187080574641
3920,0.00792040728252217
3916,0.00739759998486554
3912,0.00710520190179742
3908,0.00736985626749879
3904,0.00814961736762285
3900,0.00891324825658093
3896,0.00913314836773268
3892,0.00894065598081837
3888,0.0088549535789814
3884,0.00906399161743268
3880,0.00925900095402121
3876,0.00913968774195405
3872,0.00877685403929758
3868,0.00842979445026661
3864,0.00832709778239414
3860,0.00862137283130099
3856,0.00928529024429915
3852,0.00986754145439814
3848,0.00989704001632386
3844,0.00959862477277861
3840,0.00944972300599788
3836,0.00933407074983551
3832,0.00885711846612982
3828,0.0083092258226503
3824,0.00831243259751663
3820,0.00864884086656913
3816,0.008449876270251
3812,0.00783054139933475
3808,0.00787153775912578
3804,0.00863790235982356
3800,0.00870609800298309
3796,0.00741358595646243
3792,0.00617974926188439
3788,0.00609681109461555
3784,0.00653433347330733
3780,0.00657830365401735
3776,0.00656388184254629
3772,0.00717499951966427
3768,0.00795260317970549
3764,0.00813138862873805
3760,0.00818292476792131
3756,0.0089357817446925
3752,0.00994968202822068
3748,0.0101726873736127
3744,0.00990492111731987
3740,0.0100579758090185
3736,0.00998983970767431
3732,0.00876543085409785
3728,0.00714824058098123
3724,0.00626566058597629
3720,0.00576185221363249
3716,0.00500254984419565
3712,0.00458145898124972
3708,0.00510300536650622
3704,0.00563169146459606
3700,0.00535772132586411
3696,0.00523112014562423
3692,0.00616752131068689
3688,0.00715407299986777
3684,0.00701098692917407
3680,0.00678430676262141
3676,0.00769079035621056
3672,0.00841854006734627
3668,0.00717004714699806
3664,0.00527484812436741
3660,0.00474603117505217
3656,0.00523650787855691
3652,0.00542925256710516
3648,0.0053050426402954
3644,0.00566460105562962
3640,0.0060589888554473
3636,0.00607793208502637
3632,0.00677073686903092
3628,0.0087819499756963
3624,0.0104117949373203
3620,0.0101603925319246
3616,0.00942004517147953
3612,0.00968013744430242
3608,0.00970007811614442
3604,0.00822004157293175
3600,0.00690841768615393
3596,0.00750574396573041
3592,0.00864100209896244
3588,0.00826694022376568
3584,0.00753114756126349
3580,0.00851883000946883
3576,0.0102278184771617
3572,0.0107766278917522
3568,0.010739452336579
3564,0.0112856729447001
3560,0.0111578047723903
3556,0.0093784463127943
3552,0.00815138325118631
3548,0.00931640187300558
3544,0.0107183696708799
3540,0.00980110078569465
3536,0.0082786785417702
3532,0.00863892693025501
3528,0.00958084293654756
3524,0.00896398051887839
3520,0.00817233248229608
3516,0.00911578419866106
3512,0.0100757084502471
3508,0.00909429207478305
3504,0.00815674646936995
3500,0.00959837788452496
3496,0.0113394405283308
3492,0.0105727583598936
3488,0.00889832572680518
3484,0.00900027470255785
3480,0.00964199518346258
3476,0.00864316321836836
3472,0.00760368756228541
3468,0.00878475394385432
3464,0.0103588126937881
3460,0.00965300420291072
3456,0.00821111128328523
3452,0.00868122752991038
3448,0.00975633153305729
3444,0.00891907489420418
3440,0.00734507306381325
3436,0.00737490649742588
3432,0.00786036565458297
3428,0.00671721961870235
3424,0.00526119490475023
3420,0.00558607009104195
3416,0.00642427371261101
3412,0.00584812376830763
3408,0.00524430140778126
3404,0.00643017535691998
3400,0.00764484057086344
3396,0.00664586473237711
3392,0.00505311410327903
3388,0.00534171975790185
3384,0.00630832825532794
3380,0.00574867073989517
3376,0.00474255582917386
3372,0.00525840395506005
3368,0.00609585201623473
3364,0.00530095806941641
3360,0.00419173932736951
3356,0.00483696435865042
3352,0.00599412298880209
3348,0.00554341129391322
3344,0.00453300726081884
3340,0.00499376705629968
3336,0.0060061558450185
3332,0.00578884709120906
3328,0.00538442719653233
3324,0.00644188513558621
3320,0.00760676253427856
3316,0.00695543106309408
3312,0.00576569163441079
3308,0.00615490162513272
3304,0.00712225894303685
3300,0.00671771444120649
3296,0.00599055145284461
3292,0.00689068919393167
3288,0.00836460740106225
3284,0.00836443067135259
3280,0.00770325635263258
3276,0.00817682930525759
3272,0.00886575421614228
3268,0.00804077438903506
3264,0.00682706075238299
3260,0.00716740949914705
3256,0.00810516488359963
3252,0.007752138218015
3248,0.00699334262017956
3244,0.00757852036671074
3240,0.0084663785340389
3236,0.0078244795527495
3232,0.00666973555362081
3228,0.00689865854356259
3224,0.00764731682841704
3220,0.00721061626475297
3216,0.00653962258570117
3212,0.00727681089142554
3208,0.0082761549851162
3204,0.00766862788795434
3200,0.00643449525814371
3196,0.00644489305376253
3192,0.00693688514752126
3188,0.00631493205402732
3184,0.00548476612260523
3180,0.00604301401874205
3176,0.00703933566108195
3172,0.0068214517881986
3168,0.00623707999901707
3164,0.00679881209784746
3160,0.0075568105417599
3156,0.00698647956849547
3152,0.00613468881697645
3148,0.00674172905091323
3144,0.00797129170017958
3140,0.008078683799453
3136,0.00762060214717789
3132,0.0080271819812341
3128,0.00864888591673117
3124,0.00818606174361261
3120,0.00749634068580565
3116,0.00808215314638815
3112,0.00918725566436032
3108,0.00928601090638543
3104,0.00902187425787316
3100,0.00987168925941377
3096,0.0112958835497539
3092,0.0118484829360223
3088,0.0118949606628163
3084,0.0126440418002547
3080,0.0136421242586098
3076,0.0137882967430544
